images,price,title
https://dei.com.sg/images/thumbnails/300/300/product/19/MilkChocWHazelnuts.png,2.00,Volume Milk Chocolate with Hazelnuts
https://dei.com.sg/images/thumbnails/300/300/product/19/MilkChocWPistachio.png,2.00,Volume Milk Chocolate with Pistachio
https://dei.com.sg/images/thumbnails/300/300/product/19/AssortedChoc1.png,14.00,Volume Pralines Assorted Chocolate
https://dei.com.sg/images/thumbnails/300/300/detailed/24/YEOS_H2O_Sparkling_Original_325ml.png,16.32,YEOS H2O Sparkling Original 325ml x 24
https://dei.com.sg/images/thumbnails/300/300/product/24/Yeos_Ice_Green_Tea_1500ml_Single.png,1.90,Yeos Ice Green Tea 1500ml Single
https://dei.com.sg/images/thumbnails/300/300/product/24/Yeos_Iced_Lemon_Tea_1500ml_Single.png,1.90,Yeos Iced Lemon Tea 1500ml Single
https://dei.com.sg/images/thumbnails/300/300/product/24/Yeos_Iced_Lemon_Tea_250ml_X6.png,2.60,Yeos Iced Lemon Tea 250ml X6
https://dei.com.sg/images/thumbnails/300/300/detailed/23/NESCAFE®_GOLD_Dark_Latte_Premix_Coffee_12_x_34g.png,6.70,NESCAFE® GOLD Dark Latte Premix Coffee 12 x 34g
https://dei.com.sg/images/thumbnails/300/300/detailed/23/NESCAFE®_Gold_Jar_200g.png,15.10,NESCAFE® Gold Jar 200g
https://dei.com.sg/images/thumbnails/300/300/product/5/ambikas_0044.png,1.44,Nutri Choice Oats 150g
https://dei.com.sg/images/thumbnails/300/300/product/20/Haldirams_Soan_Papdi_(250g).png,2.10,Haldirams Soan Papdi (250g)
https://dei.com.sg/images/thumbnails/300/300/product/24/Nescafe_Dolce_Gusto_Chai_Tea_Latte_8s.png,12.10,Nescafe Dolce Gusto Chai Tea Latte 8s
https://dei.com.sg/images/thumbnails/300/300/product/24/Nescafe_Dolce_Gusto_Tea_Latte_8s.png,12.10,Nescafe Dolce Gusto Tea Latte 8s
https://dei.com.sg/images/thumbnails/300/300/product/19/0124.png,0.80,Goodday Pista Badam 75g
https://dei.com.sg/images/thumbnails/300/300/product/24/Pokka_Lemon_Tea_1500ml.png,2.05,Pokka Lemon Tea 1500ml
https://dei.com.sg/images/thumbnails/300/300/product/24/Pokka_Lemon_Tea_250ml_X6.png,2.60,Pokka Lemon Tea 250ml X6
https://dei.com.sg/images/thumbnails/300/300/product/24/Pokka_Lemon_Tea_300ml.png,16.80,Pokka Lemon Tea 300ml x 24
https://dei.com.sg/images/thumbnails/300/300/product/24/Pokka_Peach_Tea_250mlX6.png,2.60,Pokka Peach Tea 250mlX6
https://dei.com.sg/images/thumbnails/300/300/product/24/Pokka_Peach_Tea_300ml.png,16.80,Pokka Peach Tea 300ml x 24
https://dei.com.sg/images/thumbnails/300/300/product/24/Pokka_Plenish_Sports_Water_300ml.png,16.80,Pokka Plenish Sports Water 300ml x 24
https://dei.com.sg/images/thumbnails/300/300/detailed/24/Ribena_Packet_Drinks_Blackcurrant_6'sx200ml.png,3.60,Ribena Packet Drinks Blackcurrant 6'sx200ml
https://dei.com.sg/images/thumbnails/300/300/product/24/Ribena_Packet_Drinks_Blackcurrant_Less_Sweet_6'sx200ml.png,3.60,Ribena Packet Drinks Blackcurrant Less Sweet 6'sx200ml
https://dei.com.sg/images/thumbnails/300/300/product/24/Yeos_Chrysanthemum_Luo_Han_Guo_Tea_250mlX6.png,2.60,Yeos Chrysanthemum Luo Han Guo Tea 250mlX6
https://dei.com.sg/images/thumbnails/300/300/product/24/Yeos_Chrysanthemum_Tea_1500ml_Single.png,1.90,Yeos Chrysanthemum Tea 1500ml Single
https://dei.com.sg/images/thumbnails/300/300/product/24/YEOS_Chrysanthemum_Tea_250mlX6.png,2.60,YEOS Chrysanthemum Tea 250mlX6
https://dei.com.sg/images/thumbnails/300/300/product/24/Yeos_Iced_Peach_Tea_1500ml_Single.png,1.90,Yeos Iced Peach Tea 1500ml Single
https://dei.com.sg/images/thumbnails/300/300/detailed/24/Yeos_Japanese_Green_Tea_1500ml_Single.png,1.90,Yeos Japanese Green Tea 1500ml Single
https://dei.com.sg/images/thumbnails/300/300/product/24/Yeos_Jasmine_Green_Tea_250ml_X6.png,2.60,Yeos Jasmine Green Tea 250ml X6
https://dei.com.sg/images/thumbnails/300/300/product/24/YEOS_Justea_Green_tea_Lemon_250ml_X6.png,2.60,YEOS Justea Green tea Lemon 250ml X6
https://dei.com.sg/images/thumbnails/300/300/product/5/ambikas_0043.png,1.44,Nutri Choice Ragi
https://dei.com.sg/images/thumbnails/300/300/detailed/23/pepsi_carton.png,12.20,Pepsi 330ml X 24 Can
https://dei.com.sg/images/thumbnails/300/300/product/24/PEPSI_Light_330ml_can.png,18.00,PEPSI Light 330ml can x 24
https://dei.com.sg/images/thumbnails/300/300/product/24/Pokka_Soursop_Drink_250ml_X6.png,2.60,Pokka Soursop Drink 250ml X6
https://dei.com.sg/images/thumbnails/300/300/product/24/Pokka_Sparkling_Apple_Drink_325ml.png,16.80,Pokka Sparkling Apple Drink 325ml x 24
https://dei.com.sg/images/thumbnails/300/300/detailed/29/1471_Ritz_plain_crackers_100gm.png,1.30,Ritz plain crackers 100gm
https://dei.com.sg/images/thumbnails/300/300/detailed/29/1472_Ritz_plain_crackers_300gm.png,2.80,Ritz plain crackers 300gm
https://dei.com.sg/images/thumbnails/300/300/detailed/29/1470_Ritz_sandwich_118g.png,1.60,Ritz sandwich 118g
https://dei.com.sg/images/thumbnails/300/300/product/24/Pokka_Blueberry_Tea_1500ml.png,2.05,Pokka Blueberry Tea 1500ml
https://dei.com.sg/images/thumbnails/300/300/product/24/Pokka_Blueberry_Tea_250mlX6_.png,2.60,Pokka Blueberry Tea 250mlX6
